# Next line contains the total soma count (includes inactive):
24876
# Next line contains the total number of reported cells (selected_in_node + parents + children). 11 + 0 + 0 = 11.
11
# Next line contains the soma ids reported:
0 1 2 3 4 5 6 7 8 9 10 
# Next line contains the number of cycles:
1000
#Cycle [SomaId(0)_V SomaId(0)_F]...[SomaId(N)_V SomaId(N)_F] 
# Where F is bit flags: 0 = FIRED_STATE_NOTHING; 1 = FIRED_STATE_REGULAR; 2 = FIRED_STATE_FORCED; 4 = FIRED_STATE_BINARY; 8 = FIRED_STATE_SUPPRESSED.
#Cycle 0_V 0_F 1_V 1_F 2_V 2_F 3_V 3_F 4_V 4_F 5_V 5_F 6_V 6_F 7_V 7_F 8_V 8_F 9_V 9_F 10_V 10_F 
96 -70.985756 0 -69.582603 0 -70.934845 0 -68.629257 0 -69.390877 0 -68.313393 0 -69.327766 0 -67.514038 0 -68.847572 0 -67.714958 0 -69.728386 0 
97 -69.301216 0 -66.283981 0 -69.590973 0 -65.995026 0 -66.820221 0 -65.123817 0 -67.994934 0 -65.497734 0 -68.239960 0 -65.457787 0 -69.101723 0 
98 -68.905251 0 -64.895355 0 -69.242020 0 -66.065094 0 -67.616310 0 -65.072838 0 -68.380211 0 -65.808868 0 -68.171341 0 -65.172897 0 -69.035088 0 
99 -68.397156 0 -61.888294 0 -64.975075 0 -58.735825 0 -62.465832 0 -55.443443 0 -62.074661 0 -56.294971 0 -60.713921 0 -57.334553 0 -63.176449 0 
100 -61.400181 0 -46.804890 0 -58.282631 0 -42.987049 0 -57.238380 0 -40.766277 0 -57.052074 0 -42.641956 0 -56.632076 0 -40.520618 0 -58.354107 0 
101 -60.963875 0 -37.842846 0 -57.666855 0 -32.572392 0 -56.762550 0 -29.071016 0 -56.436337 0 -32.281071 0 -56.808968 0 -27.612045 0 -57.768173 0 
102 -61.829426 0 -25.602520 0 -58.572460 0 -15.611894 0 -57.552208 0 -8.016233 0 -57.159431 0 -15.297597 0 -57.629066 0 -4.336932 0 -58.772293 0 
103 -63.358967 0 0.022710 0 -59.790516 0 26.687006 0 -58.560658 0 49.653088 1 -58.098598 0 27.593708 0 -58.671211 0 61.620869 1 -59.991112 0 
104 -64.902924 0 76.403168 1 -61.207314 0 183.857819 1 -59.791939 0 -67.856445 0 -59.265724 0 188.014938 1 -59.936958 0 -67.875565 0 -61.399509 0 
105 -66.357674 0 -67.992622 0 -62.766632 0 -68.234535 0 -61.223282 0 -70.196243 0 -60.649117 0 -68.239693 0 -61.399456 0 -70.229416 0 -62.939156 0 
106 -67.633499 0 -70.432243 0 -64.378532 0 -70.849648 0 -62.797085 0 -71.846512 0 -62.203491 0 -70.858528 0 -62.995991 0 -71.886604 0 -64.520226 0 
107 -68.675690 0 -72.130959 0 -65.933022 0 -72.629555 0 -64.421532 0 -72.847801 0 -63.846485 0 -72.640106 0 -64.630043 0 -72.889008 0 -66.035835 0 
108 -69.471771 0 -73.139214 0 -67.325478 0 -73.644936 0 -65.984863 0 -73.364296 0 -65.467972 0 -73.655563 0 -66.187592 0 -73.403534 0 -67.386818 0 
109 -70.043449 0 -73.641151 0 -68.483124 0 -74.118004 0 -67.381432 0 -73.570778 0 -66.953674 0 -74.127975 0 -67.564606 0 -73.607094 0 -68.506241 0 
110 -70.430870 0 -73.826698 0 -69.378975 0 -74.265862 0 -68.538666 0 -73.597748 0 -68.214668 0 -74.275032 0 -68.693436 0 -73.631218 0 -69.371246 0 
